player_id,matches_played,goals_scored,assists,yellow_cards,red_cards,minutes_played,pass_accuracy,tackles,saves,star_player,is_valid,data_quality_flag
1,19,14,4,2,0,2551,84.199996948242188,35,10,True,Valid,VALID
2,48,5,10,3,2,1578,56.900001525878906,1,4,True,Valid,VALID
3,25,25,16,7,0,1354,89.599998474121094,44,8,True,Valid,VALID
4,37,27,4,7,0,2407,92.699996948242188,22,0,True,Valid,VALID
5,5,14,13,9,1,1169,80.199996948242188,13,18,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
6,47,26,14,9,2,4226,59.299999237060547,6,2,True,Valid,VALID
7,8,12,9,0,1,3619,79.199996948242188,3,2,True,Valid,VALID
8,33,13,4,6,0,119,76,5,3,True,Valid,VALID
9,24,0,2,8,2,4489,52.400001525878906,16,15,True,Valid,VALID
10,27,10,4,2,2,1610,78,11,18,True,Valid,VALID
11,34,29,15,6,1,4314,85.699996948242188,42,7,True,Not Valid,STAR_WITH_LOW_STAMINA
12,47,12,19,1,0,2214,65.599998474121094,40,17,True,Not Valid,STAR_WITH_LOW_STAMINA
13,8,8,18,1,1,4357,83.900001525878906,3,5,True,Not Valid,STAR_WITH_LOW_STAMINA
14,17,7,2,7,2,2098,74.300003051757813,14,1,True,Valid,VALID
15,27,22,9,9,2,1151,90.5,45,3,True,Not Valid,STAR_WITH_LOW_STAMINA
16,11,23,12,9,1,3741,94.099998474121094,22,19,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
17,21,12,5,9,1,4279,55.599998474121094,18,16,True,Valid,VALID
18,41,8,4,2,2,700,69.800003051757813,36,19,True,Not Valid,STAR_WITH_LOW_STAMINA
19,24,7,7,6,0,4042,86.599998474121094,12,13,True,Valid,VALID
20,33,5,7,0,2,194,89.099998474121094,15,8,True,Valid,VALID
21,41,10,8,1,0,50,73.099998474121094,17,8,True,Not Valid,STAR_WITH_LOW_STAMINA
22,28,28,15,1,2,3980,69.400001525878906,37,17,True,Not Valid,STAR_WITH_LOW_STAMINA
23,49,16,7,3,0,4262,69.900001525878906,35,12,True,Valid,VALID
24,8,25,4,5,0,2844,50.400001525878906,41,14,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
25,28,6,10,6,1,967,61.700000762939453,11,9,True,Valid,VALID
26,1,7,7,0,2,2119,70.400001525878906,35,16,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
27,20,9,4,3,2,3248,63.700000762939453,26,13,True,Valid,VALID
28,27,26,2,3,2,4159,84.699996948242188,49,16,True,Valid,VALID
29,4,3,7,1,0,737,89.400001525878906,35,18,True,Valid,VALID
30,25,2,8,2,0,174,61.099998474121094,9,11,False,Valid,VALID
31,0,21,3,5,0,1022,92.699996948242188,43,3,True,Not Valid,YELLOW_CARDS_GT_MATCHES
32,47,7,13,8,1,4321,83.699996948242188,42,18,True,Valid,VALID
33,19,4,0,1,2,3245,67.800003051757813,5,15,True,Valid,VALID
34,20,23,18,9,2,1656,84.5,21,5,True,Valid,VALID
35,1,27,15,5,2,4328,66.699996948242188,26,15,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
36,12,25,12,8,2,2064,63.799999237060547,36,19,True,Not Valid,STAR_WITH_LOW_STAMINA
37,48,25,9,4,0,1075,88.400001525878906,6,2,True,Not Valid,STAR_WITH_LOW_STAMINA
38,27,26,3,3,2,4180,50.900001525878906,5,2,True,Valid,VALID
39,44,13,8,7,2,3414,52.299999237060547,4,17,True,Valid,VALID
40,15,26,11,7,0,612,69.699996948242188,47,3,True,Valid,VALID
41,1,9,19,9,1,2776,73.900001525878906,8,15,True,Not Valid,STAR_WITH_LOW_STAMINA
42,16,26,3,6,1,136,77.900001525878906,28,19,True,Valid,VALID
43,41,29,13,1,2,3769,58.5,44,7,True,Valid,VALID
44,8,16,5,2,1,736,69.599998474121094,8,17,True,Valid,VALID
45,5,26,17,8,0,2827,73.599998474121094,38,5,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
46,1,27,19,7,0,241,79.099998474121094,2,3,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
47,31,25,12,9,1,1000,59.5,40,19,True,Valid,VALID
48,48,28,14,2,0,2268,75,6,18,True,Valid,VALID
49,19,9,0,8,1,99,55.400001525878906,4,19,False,Valid,VALID
50,20,19,19,7,1,460,86.599998474121094,0,8,True,Valid,VALID
51,23,23,15,8,1,1617,60.900001525878906,29,0,True,Valid,VALID
52,31,18,12,2,1,183,93.199996948242188,27,6,True,Valid,VALID
53,46,4,3,7,0,446,88,25,2,True,Not Valid,STAR_WITH_LOW_STAMINA
54,14,1,14,0,0,104,66.599998474121094,39,17,True,Valid,VALID
55,48,0,4,8,1,4293,91.199996948242188,13,19,True,Valid,VALID
56,38,16,3,6,1,984,66.699996948242188,22,14,True,Valid,VALID
57,47,17,15,6,1,3525,60.700000762939453,37,10,True,Valid,VALID
58,42,21,1,5,2,3363,85.5,32,1,True,Valid,VALID
59,43,22,19,6,0,4098,84.099998474121094,8,13,True,Not Valid,STAR_WITH_LOW_STAMINA
60,49,18,11,5,0,2117,63.200000762939453,31,12,True,Valid,VALID
61,44,24,16,9,2,3277,50.200000762939453,36,17,True,Valid,VALID
62,21,5,6,4,2,1352,85.5,14,12,True,Valid,VALID
63,37,16,17,3,0,3667,82.199996948242188,0,9,True,Valid,VALID
64,35,21,18,4,2,3572,65.099998474121094,33,2,True,Valid,VALID
65,15,14,17,7,2,4416,91.800003051757813,49,8,True,Valid,VALID
66,3,28,5,5,1,3175,78.400001525878906,9,17,True,Not Valid,STAR_WITH_LOW_STAMINA
67,41,14,2,8,1,3656,89.900001525878906,45,1,True,Valid,VALID
68,7,16,9,5,0,3456,83,8,11,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
69,32,6,16,9,1,3596,77.900001525878906,30,8,True,Not Valid,STAR_WITH_LOW_STAMINA
70,23,29,6,5,1,3751,90.599998474121094,12,16,True,Valid,VALID
71,13,18,19,5,2,4329,77.400001525878906,34,15,True,Not Valid,STAR_WITH_LOW_STAMINA
72,23,25,8,6,2,1347,57.900001525878906,21,3,True,Valid,VALID
73,15,24,1,1,2,1815,88.699996948242188,13,9,True,Not Valid,STAR_WITH_LOW_STAMINA
74,41,16,7,1,2,1678,88.5,4,5,True,Not Valid,STAR_WITH_LOW_STAMINA
75,29,10,16,4,0,540,70.800003051757813,44,1,True,Valid,VALID
76,22,3,9,5,0,4335,50.700000762939453,20,4,True,Valid,VALID
77,14,5,13,7,1,1363,81.699996948242188,4,2,True,Not Valid,STAR_WITH_LOW_STAMINA
78,21,6,17,3,0,2442,51.099998474121094,26,19,True,Valid,VALID
79,39,8,8,4,0,1163,85.800003051757813,10,18,True,Not Valid,STAR_WITH_LOW_STAMINA
80,36,26,2,3,2,2905,70.300003051757813,15,9,True,Not Valid,STAR_WITH_LOW_STAMINA
81,17,3,19,1,1,3183,86,38,4,True,Valid,VALID
82,12,13,3,9,1,4180,61.299999237060547,30,7,True,Valid,VALID
83,19,21,5,6,0,697,68.5,9,11,True,Valid,VALID
84,33,21,0,8,0,1961,64.800003051757813,32,7,True,Valid,VALID
85,36,20,5,4,0,3550,68.900001525878906,46,16,True,Valid,VALID
86,3,13,18,8,2,4154,68.599998474121094,17,19,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
87,3,24,11,7,2,1550,83.900001525878906,2,7,True,Not Valid,STAR_WITH_LOW_STAMINA
88,8,20,14,5,2,2452,92.900001525878906,1,7,True,Not Valid,STAR_WITH_LOW_STAMINA
89,11,18,10,1,1,3115,83.400001525878906,13,11,True,Not Valid,STAR_WITH_LOW_STAMINA
90,21,15,14,5,0,3985,76.599998474121094,1,16,True,Not Valid,STAR_WITH_LOW_STAMINA
91,31,9,2,1,1,2626,69.300003051757813,29,6,True,Valid,VALID
92,12,4,4,0,2,2421,94.599998474121094,48,3,True,Not Valid,STAR_WITH_LOW_STAMINA
93,38,8,0,2,1,2296,55.799999237060547,17,14,True,Valid,VALID
94,41,27,10,5,2,2843,79.5,44,17,True,Valid,VALID
95,6,8,13,8,1,3092,62.099998474121094,49,10,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
96,45,12,5,6,0,1399,82.900001525878906,0,4,True,Not Valid,STAR_WITH_LOW_STAMINA
97,22,15,15,8,0,3920,62.599998474121094,43,2,True,Valid,VALID
98,39,24,0,8,2,3323,57.700000762939453,44,4,True,Valid,VALID
99,13,1,12,6,1,2961,78,8,5,True,Valid,VALID
100,38,13,11,4,1,269,91.199996948242188,33,2,True,Valid,VALID
101,16,27,1,6,0,3871,68.5,31,19,True,Valid,VALID
102,6,4,8,3,1,3654,68.900001525878906,12,5,True,Valid,VALID
103,47,8,10,9,2,1667,79.199996948242188,5,14,True,Valid,VALID
104,40,29,5,5,0,3555,81.699996948242188,27,2,True,Valid,VALID
105,18,20,9,4,2,2664,61.200000762939453,25,11,True,Valid,VALID
106,8,27,13,6,0,983,82.599998474121094,2,6,True,Not Valid,STAR_WITH_LOW_STAMINA
107,2,1,19,4,1,2860,71.599998474121094,9,10,True,Not Valid,UNREALISTIC_GOAL_ASSIST_RATE
108,46,9,10,9,1,412,91.599998474121094,41,9,True,Valid,VALID
109,20,2,1,7,1,260,66.599998474121094,28,11,False,Valid,VALID
110,37,7,16,1,2,2906,66.900001525878906,17,8,True,Valid,VALID
111,12,9,11,8,2,2662,94.5,5,16,True,Not Valid,STAR_WITH_LOW_STAMINA
112,10,3,7,1,0,1326,87.300003051757813,37,10,True,Not Valid,STAR_WITH_LOW_STAMINA
113,22,12,5,0,0,381,52.200000762939453,14,12,True,Not Valid,STAR_WITH_LOW_STAMINA
114,13,1,5,4,1,4256,69.099998474121094,30,9,True,Valid,VALID
115,17,25,15,0,1,1581,89.699996948242188,25,16,True,Valid,VALID
116,9,17,1,3,1,681,88.900001525878906,7,19,True,Not Valid,STAR_WITH_LOW_STAMINA
